,DATA,ESTACAO,SVID,S4,ZERO,AZ,EL,ROTI,TEC_R,S_N,DPR,DPC,MIN
19 0.443 0000  342   3 0.00  0.1  0.0 0.0 0.0 0,2026-01-03,Vitória da Conquista (BA),19,443,0,342,3,0.00,0.1,0.0,0.0,0.0,0
20 0.170 0000  250  26 0.00  0.1  0.0 0.0 0.0 0,2026-01-03,Vitória da Conquista (BA),20,170,0,250,26,0.00,0.1,0.0,0.0,0.0,0
21 0.064 0000  241  30 0.00  0.1  0.0 0.0 0.0 0,2026-01-03,Vitória da Conquista (BA),21,64,0,241,30,0.00,0.1,0.0,0.0,0.0,0
22 0.910 0000  311  43 0.00  0.1  0.0 0.0 0.0 0,2026-01-03,Vitória da Conquista (BA),22,910,0,311,43,0.00,0.1,0.0,0.0,0.0,0
30 0.044 0000  204  39 0.00  0.1  0.0 0.0 0.0 0,2026-01-03,Vitória da Conquista (BA),30,44,0,204,39,0.00,0.1,0.0,0.0,0.0,0
43 0.046 0000   36  27 0.00  0.1  0.0 0.0 0.0 0,2026-01-03,Vitória da Conquista (BA),43,46,0,36,27,0.00,0.1,0.0,0.0,0.0,0
44 0.011 0000  121  79 0.00  0.1  0.0 0.0 0.0 0,2026-01-03,Vitória da Conquista (BA),44,11,0,121,79,0.00,0.1,0.0,0.0,0.0,0
45 0.027 0000  200  33 0.00  0.1  0.0 0.0 0.0 0,2026-01-03,Vitória da Conquista (BA),45,27,0,200,33,0.00,0.1,0.0,0.0,0.0,0
46 0.167 0000  161  22 0.00  0.1  0.0 0.0 0.0 0,2026-01-03,Vitória da Conquista (BA),46,167,0,161,22,0.00,0.1,0.0,0.0,0.0,0
47 0.031 0000  212  50 0.00  0.1  0.0 0.0 0.0 0,2026-01-03,Vitória da Conquista (BA),47,31,0,212,50,0.00,0.1,0.0,0.0,0.0,0
74 0.021 0000  206  31 0.00  0.1  0.0 0.0 0.0 0,2026-01-03,Vitória da Conquista (BA),74,21,0,206,31,0.00,0.1,0.0,0.0,0.0,0
76 0.645 0000  220  10 0.00  0.1  0.0 0.0 0.0 0,2026-01-03,Vitória da Conquista (BA),76,645,0,220,10,0.00,0.1,0.0,0.0,0.0,0
80 0.187 0000  287   5 0.00  0.1  0.0 0.0 0.0 0,2026-01-03,Vitória da Conquista (BA),80,187,0,287,5,0.00,0.1,0.0,0.0,0.0,0
82 0.386 0000  309   9 0.00  0.1  0.0 0.0 0.0 0,2026-01-03,Vitória da Conquista (BA),82,386,0,309,9,0.00,0.1,0.0,0.0,0.0,0
89 0.000 0000  128  59 0.00  0.1  0.0 0.0 0.0 0,2026-01-03,Vitória da Conquista (BA),89,0,0,128,59,0.00,0.1,0.0,0.0,0.0,0
91 0.000 0000  146  35 0.00  0.1  0.0 0.0 0.0 0,2026-01-03,Vitória da Conquista (BA),91,0,0,146,35,0.00,0.1,0.0,0.0,0.0,0
93 0.011 0000  243  85 0.00  0.1  0.0 0.0 0.0 0,2026-01-03,Vitória da Conquista (BA),93,11,0,243,85,0.00,0.1,0.0,0.0,0.0,0
99 0.026 0000   71  28 0.00  0.1  0.0 0.0 0.0 0,2026-01-03,Vitória da Conquista (BA),99,26,0,71,28,0.00,0.1,0.0,0.0,0.0,0
101 0.552 0000  318  35 0.00  0.1  0.0 0.0 0.0 0,2026-01-03,Vitória da Conquista (BA),101,552,0,318,35,0.00,0.1,0.0,0.0,0.0,0
103 0.289 0000  359   7 0.00  0.1  0.0 0.0 0.0 0,2026-01-03,Vitória da Conquista (BA),103,289,0,359,7,0.00,0.1,0.0,0.0,0.0,0
121 0.000 0000   70  46 0.00  0.1  0.0 0.0 0.0 0,2026-01-03,Vitória da Conquista (BA),121,0,0,70,46,0.00,0.1,0.0,0.0,0.0,0
123 0.105 0000   83  16 0.00  0.1  0.0 0.0 0.0 0,2026-01-03,Vitória da Conquista (BA),123,105,0,83,16,0.00,0.1,0.0,0.0,0.0,0
136 0.000 0000   76  35 0.00  0.1  0.0 0.0 0.0 0,2026-01-03,Vitória da Conquista (BA),136,0,0,76,35,0.00,0.1,0.0,0.0,0.0,0
151 0.669 0000   30  14 0.00  0.1  0.0 0.0 0.0 0,2026-01-03,Vitória da Conquista (BA),151,669,0,30,14,0.00,0.1,0.0,0.0,0.0,0
152 0.000 0000   79  10 0.00  0.1  0.0 0.0 0.0 0,2026-01-03,Vitória da Conquista (BA),152,0,0,79,10,0.00,0.1,0.0,0.0,0.0,0
154 0.023 0000   28  57 0.00  0.1  0.0 0.0 0.0 0,2026-01-03,Vitória da Conquista (BA),154,23,0,28,57,0.00,0.1,0.0,0.0,0.0,0
163 1.076 0000  277  27 0.00  0.1  0.0 0.0 0.0 0,2026-01-03,Vitória da Conquista (BA),163,1.076,0,277,27,0.00,0.1,0.0,0.0,0.0,0
164 0.052 0000  147  25 0.00  0.1  0.0 0.0 0.0 0,2026-01-03,Vitória da Conquista (BA),164,52,0,147,25,0.00,0.1,0.0,0.0,0.0,0
165 0.016 0000  218  52 0.00  0.1  0.0 0.0 0.0 0,2026-01-03,Vitória da Conquista (BA),165,16,0,218,52,0.00,0.1,0.0,0.0,0.0,0
