,DATA,ESTACAO,SVID,S4,ZERO,AZ,EL,ROTI,TEC_R,S_N,DPR,DPC,MIN
60 0.055 0000  115  15 0.00  0.1  0.0 0.0 0.0 0,2026-01-30,Vitória da Conquista (BA),60,55,0,115,15,0.00,0.1,0.0,0.0,0.0,0
61 0.030 0000   50  25 0.00  0.1  0.0 0.0 0.0 0,2026-01-30,Vitória da Conquista (BA),61,30,0,50,25,0.00,0.1,0.0,0.0,0.0,0
74 0.043 0000  214  27 0.00  0.1  0.0 0.0 0.0 0,2026-01-30,Vitória da Conquista (BA),74,43,0,214,27,0.00,0.1,0.0,0.0,0.0,0
76 0.121 0000  217   3 0.00  0.1  0.0 0.0 0.0 0,2026-01-30,Vitória da Conquista (BA),76,121,0,217,3,0.00,0.1,0.0,0.0,0.0,0
89 0.018 0000  163  82 0.00  0.1  0.0 0.0 0.0 0,2026-01-30,Vitória da Conquista (BA),89,18,0,163,82,0.00,0.1,0.0,0.0,0.0,0
91 0.071 0000  159  38 0.00  0.1  0.0 0.0 0.0 0,2026-01-30,Vitória da Conquista (BA),91,71,0,159,38,0.00,0.1,0.0,0.0,0.0,0
93 0.011 0000  242  59 0.00  0.1  0.0 0.0 0.0 0,2026-01-30,Vitória da Conquista (BA),93,11,0,242,59,0.00,0.1,0.0,0.0,0.0,0
96 0.018 0000   41   9 0.00  0.1  0.0 0.0 0.0 0,2026-01-30,Vitória da Conquista (BA),96,18,0,41,9,0.00,0.1,0.0,0.0,0.0,0
99 0.000 0000   44  42 0.00  0.1  0.0 0.0 0.0 0,2026-01-30,Vitória da Conquista (BA),99,0,0,44,42,0.00,0.1,0.0,0.0,0.0,0
101 0.051 0000  294  22 0.00  0.1  0.0 0.0 0.0 0,2026-01-30,Vitória da Conquista (BA),101,51,0,294,22,0.00,0.1,0.0,0.0,0.0,0
103 0.109 0000  355   5 0.00  0.1  0.0 0.0 0.0 0,2026-01-30,Vitória da Conquista (BA),103,109,0,355,5,0.00,0.1,0.0,0.0,0.0,0
121 0.000 0000   70  46 0.00  0.1  0.0 0.0 0.0 0,2026-01-30,Vitória da Conquista (BA),121,0,0,70,46,0.00,0.1,0.0,0.0,0.0,0
123 0.000 0000   83  16 0.00  0.1  0.0 0.0 0.0 0,2026-01-30,Vitória da Conquista (BA),123,0,0,83,16,0.00,0.1,0.0,0.0,0.0,0
136 0.000 0000   76  35 0.00  0.1  0.0 0.0 0.0 0,2026-01-30,Vitória da Conquista (BA),136,0,0,76,35,0.00,0.1,0.0,0.0,0.0,0
151 0.081 0000  128   7 0.00  0.1  0.0 0.0 0.0 0,2026-01-30,Vitória da Conquista (BA),151,81,0,128,7,0.00,0.1,0.0,0.0,0.0,0
160 0.065 0000  231  25 0.00  0.1  0.0 0.0 0.0 0,2026-01-30,Vitória da Conquista (BA),160,65,0,231,25,0.00,0.1,0.0,0.0,0.0,0
163 0.019 0000  149  33 0.00  0.1  0.0 0.0 0.0 0,2026-01-30,Vitória da Conquista (BA),163,19,0,149,33,0.00,0.1,0.0,0.0,0.0,0
165 0.077 0000  111   3 0.00  0.1  0.0 0.0 0.0 0,2026-01-30,Vitória da Conquista (BA),165,77,0,111,3,0.00,0.1,0.0,0.0,0.0,0
167 0.066 0000  357  20 0.00  0.1  0.0 0.0 0.0 0,2026-01-30,Vitória da Conquista (BA),167,66,0,357,20,0.00,0.1,0.0,0.0,0.0,0
168 0.012 0000   41  39 0.00  0.1  0.0 0.0 0.0 0,2026-01-30,Vitória da Conquista (BA),168,12,0,41,39,0.00,0.1,0.0,0.0,0.0,0
172 0.009 0000  301  57 0.00  0.1  0.0 0.0 0.0 0,2026-01-30,Vitória da Conquista (BA),172,9,0,301,57,0.00,0.1,0.0,0.0,0.0,0
177 0.023 0000  214  38 0.00  0.1  0.0 0.0 0.0 0,2026-01-30,Vitória da Conquista (BA),177,23,0,214,38,0.00,0.1,0.0,0.0,0.0,0
223 0.019 0000    9  25 0.00  0.1  0.0 0.0 0.0 0,2026-01-30,Vitória da Conquista (BA),223,19,0,9,25,0.00,0.1,0.0,0.0,0.0,0
225 0.000 0000  109  26 0.00  0.1  0.0 0.0 0.0 0,2026-01-30,Vitória da Conquista (BA),225,0,0,109,26,0.00,0.1,0.0,0.0,0.0,0
1 0.180 0000   94   2 0.00  0.1  0.0 0.0 0.0 0,2026-01-31,Vitória da Conquista (BA),1,180,0,94,2,0.00,0.1,0.0,0.0,0.0,0
6 0.909 0000    3   8 0.00  0.1  0.0 0.0 0.0 0,2026-01-31,Vitória da Conquista (BA),6,909,0,3,8,0.00,0.1,0.0,0.0,0.0,0
7 0.000 0000  102  28 0.00  0.1  0.0 0.0 0.0 0,2026-01-31,Vitória da Conquista (BA),7,0,0,102,28,0.00,0.1,0.0,0.0,0.0,0
9 0.401 0000   32  17 0.00  0.1  0.0 0.0 0.0 0,2026-01-31,Vitória da Conquista (BA),9,401,0,32,17,0.00,0.1,0.0,0.0,0.0,0
13 0.000 0000  213  32 0.00  0.1  0.0 0.0 0.0 0,2026-01-31,Vitória da Conquista (BA),13,0,0,213,32,0.00,0.1,0.0,0.0,0.0,0
14 0.000 0000  182  49 0.00  0.1  0.0 0.0 0.0 0,2026-01-31,Vitória da Conquista (BA),14,0,0,182,49,0.00,0.1,0.0,0.0,0.0,0
15 0.172 0000  219   6 0.00  0.1  0.0 0.0 0.0 0,2026-01-31,Vitória da Conquista (BA),15,172,0,219,6,0.00,0.1,0.0,0.0,0.0,0
17 0.000 0000   34  67 0.00  0.1  0.0 0.0 0.0 0,2026-01-31,Vitória da Conquista (BA),17,0,0,34,67,0.00,0.1,0.0,0.0,0.0,0
19 0.000 0000    0  49 0.00  0.1  0.0 0.0 0.0 0,2026-01-31,Vitória da Conquista (BA),19,0,0,0,49,0.00,0.1,0.0,0.0,0.0,0
21 0.452 0000  302  26 0.00  0.1  0.0 0.0 0.0 0,2026-01-31,Vitória da Conquista (BA),21,452,0,302,26,0.00,0.1,0.0,0.0,0.0,0
22 0.000 0000  215  56 0.00  0.1  0.0 0.0 0.0 0,2026-01-31,Vitória da Conquista (BA),22,0,0,215,56,0.00,0.1,0.0,0.0,0.0,0
30 0.000 0000  139  45 0.00  0.1  0.0 0.0 0.0 0,2026-01-31,Vitória da Conquista (BA),30,0,0,139,45,0.00,0.1,0.0,0.0,0.0,0
40 0.114 0000    7  27 0.00  0.1  0.0 0.0 0.0 0,2026-01-31,Vitória da Conquista (BA),40,114,0,7,27,0.00,0.1,0.0,0.0,0.0,0
41 0.917 0000  311  68 0.00  0.1  0.0 0.0 0.0 0,2026-01-31,Vitória da Conquista (BA),41,917,0,311,68,0.00,0.1,0.0,0.0,0.0,0
42 0.023 0000  222  39 0.00  0.1  0.0 0.0 0.0 0,2026-01-31,Vitória da Conquista (BA),42,23,0,222,39,0.00,0.1,0.0,0.0,0.0,0
51 0.050 0000  155  20 0.00  0.1  0.0 0.0 0.0 0,2026-01-31,Vitória da Conquista (BA),51,50,0,155,20,0.00,0.1,0.0,0.0,0.0,0
52 0.038 0000  212  32 0.00  0.1  0.0 0.0 0.0 0,2026-01-31,Vitória da Conquista (BA),52,38,0,212,32,0.00,0.1,0.0,0.0,0.0,0
53 0.745 0000  264  11 0.00  0.1  0.0 0.0 0.0 0,2026-01-31,Vitória da Conquista (BA),53,745,0,264,11,0.00,0.1,0.0,0.0,0.0,0
54 0.230 0000   50  26 0.00  0.1  0.0 0.0 0.0 0,2026-01-31,Vitória da Conquista (BA),54,230,0,50,26,0.00,0.1,0.0,0.0,0.0,0
55 0.907 0000    8   7 0.00  0.1  0.0 0.0 0.0 0,2026-01-31,Vitória da Conquista (BA),55,907,0,8,7,0.00,0.1,0.0,0.0,0.0,0
61 0.062 0000  108  20 0.00  0.1  0.0 0.0 0.0 0,2026-01-31,Vitória da Conquista (BA),61,62,0,108,20,0.00,0.1,0.0,0.0,0.0,0
72 0.058 0000  141  11 0.00  0.1  0.0 0.0 0.0 0,2026-01-31,Vitória da Conquista (BA),72,58,0,141,11,0.00,0.1,0.0,0.0,0.0,0
73 0.267 0000   39  11 0.00  0.1  0.0 0.0 0.0 0,2026-01-31,Vitória da Conquista (BA),73,267,0,39,11,0.00,0.1,0.0,0.0,0.0,0
77 0.026 0000  208  61 0.00  0.1  0.0 0.0 0.0 0,2026-01-31,Vitória da Conquista (BA),77,26,0,208,61,0.00,0.1,0.0,0.0,0.0,0
78 0.011 0000   47  62 0.00  0.1  0.0 0.0 0.0 0,2026-01-31,Vitória da Conquista (BA),78,11,0,47,62,0.00,0.1,0.0,0.0,0.0,0
85 0.825 0000   24   9 0.00  0.1  0.0 0.0 0.0 0,2026-01-31,Vitória da Conquista (BA),85,825,0,24,9,0.00,0.1,0.0,0.0,0.0,0
91 0.380 0000  302   5 0.00  0.1  0.0 0.0 0.0 0,2026-01-31,Vitória da Conquista (BA),91,380,0,302,5,0.00,0.1,0.0,0.0,0.0,0
97 0.545 0000  269  48 0.00  0.1  0.0 0.0 0.0 0,2026-01-31,Vitória da Conquista (BA),97,545,0,269,48,0.00,0.1,0.0,0.0,0.0,0
99 0.158 0000  216   9 0.00  0.1  0.0 0.0 0.0 0,2026-01-31,Vitória da Conquista (BA),99,158,0,216,9,0.00,0.1,0.0,0.0,0.0,0
100 0.012 0000  180  53 0.00  0.1  0.0 0.0 0.0 0,2026-01-31,Vitória da Conquista (BA),100,12,0,180,53,0.00,0.1,0.0,0.0,0.0,0
104 0.149 0000   71   5 0.00  0.1  0.0 0.0 0.0 0,2026-01-31,Vitória da Conquista (BA),104,149,0,71,5,0.00,0.1,0.0,0.0,0.0,0
121 0.431 0000   70  46 0.00  0.1  0.0 0.0 0.0 0,2026-01-31,Vitória da Conquista (BA),121,431,0,70,46,0.00,0.1,0.0,0.0,0.0,0
123 0.182 0000   83  16 0.00  0.1  0.0 0.0 0.0 0,2026-01-31,Vitória da Conquista (BA),123,182,0,83,16,0.00,0.1,0.0,0.0,0.0,0
136 0.460 0000   76  35 0.00  0.1  0.0 0.0 0.0 0,2026-01-31,Vitória da Conquista (BA),136,460,0,76,35,0.00,0.1,0.0,0.0,0.0,0
151 0.493 0000   76  37 0.00  0.1  0.0 0.0 0.0 0,2026-01-31,Vitória da Conquista (BA),151,493,0,76,37,0.00,0.1,0.0,0.0,0.0,0
152 0.077 0000  125  11 0.00  0.1  0.0 0.0 0.0 0,2026-01-31,Vitória da Conquista (BA),152,77,0,125,11,0.00,0.1,0.0,0.0,0.0,0
154 0.813 0000   18  11 0.00  0.1  0.0 0.0 0.0 0,2026-01-31,Vitória da Conquista (BA),154,813,0,18,11,0.00,0.1,0.0,0.0,0.0,0
163 0.034 0000  223  35 0.00  0.1  0.0 0.0 0.0 0,2026-01-31,Vitória da Conquista (BA),163,34,0,223,35,0.00,0.1,0.0,0.0,0.0,0
164 0.114 0000  112   4 0.00  0.1  0.0 0.0 0.0 0,2026-01-31,Vitória da Conquista (BA),164,114,0,112,4,0.00,0.1,0.0,0.0,0.0,0
165 0.033 0000  159  37 0.00  0.1  0.0 0.0 0.0 0,2026-01-31,Vitória da Conquista (BA),165,33,0,159,37,0.00,0.1,0.0,0.0,0.0,0
168 0.392 0000  346  10 0.00  0.1  0.0 0.0 0.0 0,2026-01-31,Vitória da Conquista (BA),168,392,0,346,10,0.00,0.1,0.0,0.0,0.0,0
172 0.066 0000  231  23 0.00  0.1  0.0 0.0 0.0 0,2026-01-31,Vitória da Conquista (BA),172,66,0,231,23,0.00,0.1,0.0,0.0,0.0,0
173 0.073 0000    3  32 0.00  0.1  0.0 0.0 0.0 0,2026-01-31,Vitória da Conquista (BA),173,73,0,3,32,0.00,0.1,0.0,0.0,0.0,0
174 0.022 0000  106  28 0.00  0.1  0.0 0.0 0.0 0,2026-01-31,Vitória da Conquista (BA),174,22,0,106,28,0.00,0.1,0.0,0.0,0.0,0
177 0.570 0000  263   4 0.00  0.1  0.0 0.0 0.0 0,2026-01-31,Vitória da Conquista (BA),177,570,0,263,4,0.00,0.1,0.0,0.0,0.0,0
223 0.045 0000  295  56 0.00  0.1  0.0 0.0 0.0 0,2026-01-31,Vitória da Conquista (BA),223,45,0,295,56,0.00,0.1,0.0,0.0,0.0,0
225 0.377 0000   38  42 0.00  0.1  0.0 0.0 0.0 0,2026-01-31,Vitória da Conquista (BA),225,377,0,38,42,0.00,0.1,0.0,0.0,0.0,0
